step,episode,ep_reward,ep_steps,success,p_hidden_mean,collision_rate,oob_rate,critic_loss,actor_loss,coverage_loss,alpha,rew_env,rew_coverage,rew_exploration
417,135,-5.0000,2,0,0.8627,1.000,0.000,0.0000,0.0000,0.1477,0.2000,-5.0000,0.0328,0.0000
420,136,-7.0000,3,0,0.8665,0.667,0.333,0.0000,0.0000,0.1433,0.2000,-7.0000,0.0772,0.0000
430,137,-20.0000,10,0,0.8680,0.700,0.300,0.0000,0.0000,1.2678,0.2000,-20.0000,0.0061,0.0000
440,138,-20.0000,10,0,0.8461,0.500,0.500,0.0000,0.0000,0.1671,0.2000,-20.0000,0.0417,0.0000
450,139,-21.0000,10,0,0.8409,0.600,0.400,0.0000,0.0000,0.1733,0.2000,-21.0000,0.0363,0.0000
452,140,-2.3454,2,0,0.8560,0.500,0.000,0.0000,0.0000,0.1554,0.2000,-2.3866,-0.0099,0.0739
453,141,-3.0000,1,0,0.8680,1.000,0.000,0.0000,0.0000,0.1416,0.2000,-3.0000,0.0813,0.0000
454,142,-3.0000,1,0,0.8606,1.000,0.000,0.0000,0.0000,0.1501,0.2000,-3.0000,0.0151,0.0000
457,143,-7.0000,3,0,0.8546,1.000,0.000,0.0000,0.0000,0.1571,0.2000,-7.0000,0.0116,0.0000
458,144,-3.0000,1,0,0.8650,1.000,0.000,0.0000,0.0000,0.1450,0.2000,-3.0000,0.0160,0.0000
459,145,-3.0000,1,0,0.8714,1.000,0.000,0.0000,0.0000,0.1377,0.2000,-3.0000,0.0179,0.0000
460,146,-3.0000,1,0,0.8680,1.000,0.000,0.0000,0.0000,0.1415,0.2000,-3.0000,0.0534,0.0000
461,147,-3.0000,1,0,0.8615,1.000,0.000,0.0000,0.0000,0.1491,0.2000,-3.0000,-0.0301,0.0000
462,148,-3.0000,1,0,0.8636,1.000,0.000,0.0000,0.0000,0.1467,0.2000,-3.0000,-0.0245,0.0000
463,149,-3.0000,1,0,0.8758,1.000,0.000,0.0000,0.0000,0.1326,0.2000,-3.0000,0.0680,0.0000
464,150,-3.0000,1,0,0.8743,1.000,0.000,0.0000,0.0000,0.1343,0.2000,-3.0000,0.0443,0.0000
471,151,-15.0000,7,0,0.8667,0.429,0.571,0.0000,0.0000,0.1430,0.2000,-15.0000,0.0174,0.0000
472,152,-3.0000,1,0,0.8809,1.000,0.000,0.0000,0.0000,0.1268,0.2000,-3.0000,-0.0082,0.0000
482,153,-20.0000,10,0,0.8853,0.400,0.600,0.0000,0.0000,0.1218,0.2000,-20.0000,0.0093,0.0000
483,154,-3.0000,1,0,0.9037,1.000,0.000,0.0000,0.0000,0.1013,0.2000,-3.0000,0.0823,0.0000
493,155,-20.0000,10,0,0.8988,0.600,0.400,0.0000,0.0000,1.1806,0.2000,-20.0000,0.0534,0.0000
499,156,-13.0000,6,0,0.8848,0.833,0.167,0.0000,0.0000,0.1225,0.2000,-13.0000,0.0164,0.0000
500,157,-3.0000,1,0,0.8871,1.000,0.000,0.0000,0.0000,0.1198,0.2000,-3.0000,-0.0062,0.0000
501,158,-3.0000,1,0,0.8815,1.000,0.000,0.0000,0.0000,0.1262,0.2000,-3.0000,0.0142,0.0000
508,159,-15.0000,7,0,0.8759,0.571,0.429,0.0000,0.0000,0.1325,0.2000,-15.0000,0.0463,0.0000
510,160,-5.0000,2,0,0.8856,0.500,0.500,0.0000,0.0000,0.1215,0.2000,-5.0000,0.0353,0.0000
516,161,-13.0000,6,0,0.8845,0.667,0.333,0.0000,0.0000,0.1227,0.2000,-13.0000,0.0612,0.0000
519,162,-7.0000,3,0,0.8864,0.333,0.667,0.0000,0.0000,0.1206,0.2000,-7.0000,0.0648,0.0000
521,163,-5.0000,2,0,0.8978,0.500,0.500,0.0000,0.0000,0.1078,0.2000,-5.0000,0.0116,0.0000
526,164,-11.0000,5,0,0.8900,0.400,0.600,0.0000,0.0000,0.1165,0.2000,-11.0000,0.0183,0.0000
527,165,-3.0000,1,0,0.9014,1.000,0.000,0.0000,0.0000,0.1038,0.2000,-3.0000,0.0553,0.0000
528,166,-3.0000,1,0,0.8951,1.000,0.000,0.0000,0.0000,0.1108,0.2000,-3.0000,-0.0035,0.0000
533,167,-11.0000,5,0,0.8996,0.800,0.200,0.0000,0.0000,1.4067,0.2000,-11.0000,0.0637,0.0000
534,168,-3.0000,1,0,0.9027,1.000,0.000,0.0000,0.0000,0.1024,0.2000,-3.0000,0.0620,0.0000
535,169,-3.0000,1,0,0.9043,1.000,0.000,0.0000,0.0000,0.1006,0.2000,-3.0000,0.0019,0.0000
542,170,-15.0000,7,0,0.8905,0.714,0.286,0.0000,0.0000,1.2914,0.2000,-15.0000,0.0719,0.0000
543,171,-3.0000,1,0,0.8843,1.000,0.000,0.0000,0.0000,0.1229,0.2000,-3.0000,-0.0066,0.0000
544,172,-3.0000,1,0,0.8888,1.000,0.000,0.0000,0.0000,0.1179,0.2000,-3.0000,0.0861,0.0000
545,173,-3.0000,1,0,0.8866,1.000,0.000,0.0000,0.0000,0.1204,0.2000,-3.0000,0.0836,0.0000
551,174,-10.6199,6,0,0.8632,0.667,0.167,0.0000,0.0000,0.1471,0.2000,-10.7343,0.0549,0.0676
555,175,-9.0000,4,0,0.8609,1.000,0.000,0.0000,0.0000,0.1499,0.2000,-9.0000,0.0386,0.0000
556,176,-3.0000,1,0,0.8656,1.000,0.000,0.0000,0.0000,0.1443,0.2000,-3.0000,-0.0120,0.0000
557,177,-3.0000,1,0,0.8760,1.000,0.000,0.0000,0.0000,0.1324,0.2000,-3.0000,0.0704,0.0000
562,178,-11.0000,5,0,0.8646,0.600,0.400,0.0000,0.0000,0.1456,0.2000,-11.0000,0.0930,0.0000
563,179,-3.0000,1,0,0.8768,1.000,0.000,0.0000,0.0000,0.1315,0.2000,-3.0000,-0.0009,0.0000
564,180,-3.0000,1,0,0.8803,1.000,0.000,0.0000,0.0000,0.1275,0.2000,-3.0000,0.1020,0.0000
574,181,-20.0000,10,0,0.8633,0.600,0.400,0.0000,0.0000,1.6013,0.2000,-20.0000,0.1419,0.0000
580,182,-13.0000,6,0,0.8335,0.667,0.333,0.0000,0.0000,0.1822,0.2000,-13.0000,0.1106,0.0000
582,183,-5.0000,2,0,0.8314,1.000,0.000,0.0000,0.0000,0.1848,0.2000,-5.0000,0.1367,0.0000
583,184,-3.0000,1,0,0.8419,1.000,0.000,0.0000,0.0000,0.1720,0.2000,-3.0000,0.0477,0.0000
584,185,-3.0000,1,0,0.8244,1.000,0.000,0.0000,0.0000,0.1931,0.2000,-3.0000,0.0609,0.0000
590,186,-13.0000,6,0,0.8196,0.833,0.167,0.0000,0.0000,0.7050,0.2000,-13.0000,0.1277,0.0000
591,187,-3.0000,1,0,0.8426,1.000,0.000,0.0000,0.0000,0.1713,0.2000,-3.0000,0.1388,0.0000
593,188,-5.0000,2,0,0.8195,0.500,0.500,0.0000,0.0000,0.1992,0.2000,-5.0000,0.0768,0.0000
594,189,-3.0000,1,0,0.8287,1.000,0.000,0.0000,0.0000,0.1879,0.2000,-3.0000,0.0949,0.0000
597,190,-7.0000,3,0,0.8309,0.333,0.667,0.0000,0.0000,0.1853,0.2000,-7.0000,0.0642,0.0000
600,191,-7.0000,3,0,0.8205,0.667,0.333,0.0000,0.0000,0.1980,0.2000,-7.0000,0.1506,0.0000
601,192,-3.0000,1,0,0.8355,1.000,0.000,0.0000,0.0000,0.1798,0.2000,-3.0000,0.1140,0.0000
602,193,-3.0000,1,0,0.8413,1.000,0.000,0.0000,0.0000,0.1728,0.2000,-3.0000,0.1073,0.0000
603,194,-3.0000,1,0,0.8353,1.000,0.000,0.0000,0.0000,0.1800,0.2000,-3.0000,0.1310,0.0000
604,195,-3.0000,1,0,0.8344,1.000,0.000,0.0000,0.0000,0.1811,0.2000,-3.0000,0.1041,0.0000
605,196,-3.0000,1,0,0.8404,1.000,0.000,0.0000,0.0000,0.1738,0.2000,-3.0000,0.1749,0.0000
615,197,-20.0000,10,0,0.8198,0.800,0.200,0.0000,0.0000,0.3531,0.2000,-20.0000,0.1737,0.0000
625,198,-20.0000,10,0,0.8422,0.700,0.300,0.0000,0.0000,0.8254,0.2000,-20.0000,0.1721,0.0000
635,199,-20.0000,10,0,0.8243,0.500,0.500,0.0000,0.0000,0.1934,0.2000,-20.0000,0.1531,0.0000
638,200,-7.0000,3,0,0.8348,0.667,0.333,0.0000,0.0000,1.8055,0.2000,-7.0000,0.1277,0.0000
640,201,-5.0000,2,0,0.8365,1.000,0.000,0.0000,0.0000,0.1787,0.2000,-5.0000,0.1762,0.0000
650,202,-20.0000,10,0,0.8182,0.700,0.300,0.0000,0.0000,0.2007,0.2000,-20.0000,0.1366,0.0000
651,203,-3.0000,1,0,0.8394,1.000,0.000,0.0000,0.0000,0.1751,0.2000,-3.0000,0.0549,0.0000
652,204,-3.0000,1,0,0.8543,1.000,0.000,0.0000,0.0000,0.1575,0.2000,-3.0000,0.2125,0.0000
656,205,-9.0000,4,0,0.8262,0.500,0.500,0.0000,0.0000,0.9455,0.2000,-9.0000,0.1419,0.0000
666,206,-20.0000,10,0,0.8250,0.600,0.400,0.0000,0.0000,0.3521,0.2000,-20.0000,0.1730,0.0000
667,207,-3.0000,1,0,0.8468,1.000,0.000,0.0000,0.0000,0.1663,0.2000,-3.0000,0.0730,0.0000
669,208,-5.0000,2,0,0.8379,1.000,0.000,0.0000,0.0000,0.1770,0.2000,-5.0000,0.1393,0.0000
673,209,-9.0000,4,0,0.8354,0.750,0.250,0.0000,0.0000,0.1799,0.2000,-9.0000,0.0885,0.0000
674,210,-3.0000,1,0,0.8581,1.000,0.000,0.0000,0.0000,0.1530,0.2000,-3.0000,0.1302,0.0000
680,211,-13.0000,6,0,0.8435,0.667,0.333,0.0000,0.0000,0.1703,0.2000,-13.0000,0.1291,0.0000
681,212,-3.0000,1,0,0.8699,1.000,0.000,0.0000,0.0000,0.1394,0.2000,-3.0000,0.1587,0.0000
682,213,-3.0000,1,0,0.8615,1.000,0.000,0.0000,0.0000,0.1490,0.2000,-3.0000,0.0740,0.0000
683,214,-3.0000,1,0,0.8570,1.000,0.000,0.0000,0.0000,0.1543,0.2000,-3.0000,0.0562,0.0000
684,215,-3.0000,1,0,0.8644,1.000,0.000,0.0000,0.0000,0.1457,0.2000,-3.0000,0.1051,0.0000
