step,episode,ep_reward,ep_steps,success,p_hidden,critic_loss,actor_loss,coverage_loss,alpha
1105,221,39.2141,5,0,0.9709,212.3836,2.5605,3.6106,0.1979
1110,222,-42.8978,5,0,0.9729,204.4634,1.9106,0.0260,0.1978
1115,223,-5.6374,5,0,0.9610,213.4464,1.5982,0.0459,0.1977
1120,224,-37.6966,5,0,0.9282,230.1270,3.0674,0.0671,0.1976
1125,225,-21.6667,5,0,0.9488,138.9593,1.3906,0.0549,0.1975
1130,226,-16.7321,5,0,0.9565,293.6614,1.9852,0.0468,0.1974
1135,227,-5.7518,5,0,0.9707,209.6522,1.2121,0.0318,0.1973
1140,228,-42.8668,5,0,0.9683,179.0043,2.1850,0.0346,0.1972
1145,229,-37.8831,5,0,0.9682,266.4132,2.4981,0.0296,0.1971
1150,230,-5.6741,5,0,0.9639,138.8449,2.5812,0.0403,0.1970
1155,231,-10.7809,5,0,0.9750,212.4355,3.0492,0.0273,0.1969
1160,232,23.1986,5,0,0.9608,258.1268,1.8343,1.9351,0.1968
1165,233,5.3781,5,0,0.9635,123.3541,2.4099,0.0385,0.1967
1170,234,-21.6799,5,0,0.9500,122.0041,2.8742,0.0571,0.1966
1175,235,28.4751,5,0,0.9034,258.2659,1.1293,0.5139,0.1965
1180,236,-16.5002,5,0,0.9115,191.5150,4.6054,0.0861,0.1964
1185,237,-5.6715,5,0,0.9596,157.2628,2.1238,0.0416,0.1963
1190,238,-43.8943,5,0,0.9390,180.4438,2.5877,0.0594,0.1962
1195,239,-10.6654,5,0,0.9616,217.9587,4.2093,0.0427,0.1961
1200,240,-26.5622,5,0,0.9247,314.1970,2.2839,0.0695,0.1960
1205,241,-42.8084,5,0,0.9461,175.5548,3.4413,0.0531,0.1959
1210,242,-53.8835,5,0,0.9418,197.0471,4.3772,0.0490,0.1958
1215,243,-10.6469,5,0,0.9578,316.5686,2.5823,0.0438,0.1957
1220,244,-58.7440,5,0,0.8720,235.9953,2.5390,0.1413,0.1956
1225,245,-10.7207,5,0,0.9666,219.4303,4.1294,0.0352,0.1955
1230,246,-42.8831,5,0,0.9733,225.7675,3.1978,0.0288,0.1954
1235,247,-5.7901,5,0,0.9726,256.9112,2.3296,0.0268,0.1953
1240,248,-37.7389,5,0,0.9345,255.8683,2.9893,0.0680,0.1952
1245,249,-58.9368,5,0,0.9648,196.8426,3.4725,0.0324,0.1951
1250,250,-10.6363,5,0,0.9587,158.9449,3.3908,0.0457,0.1950
1255,251,-16.8809,5,0,0.9797,177.0833,4.9523,0.0207,0.1949
1260,252,28.2625,5,0,0.9377,125.9605,2.9155,2.3357,0.1948
1265,253,-21.7545,5,0,0.9575,178.0466,3.4376,0.0409,0.1947
1270,254,-5.6676,5,0,0.9594,203.6065,2.2728,0.0433,0.1946
1275,255,-32.7380,5,0,0.9365,229.5903,2.6804,0.0708,0.1945
1280,256,-37.8704,5,0,0.9692,171.1563,4.0902,0.0327,0.1944
1285,257,-26.6786,5,0,0.9462,287.0995,2.5078,0.0558,0.1943
1290,258,-26.7064,5,0,0.9306,191.5803,3.5114,0.0572,0.1943
1295,259,-37.6774,5,0,0.9308,186.5883,2.8928,0.0792,0.1942
1300,260,-16.8156,5,0,0.9718,181.6810,3.4167,0.0305,0.1941
1305,261,-37.6759,5,0,0.9299,219.3983,6.0218,0.0702,0.1940
1310,262,-26.6667,5,0,0.9496,166.5426,4.9099,0.0556,0.1939
1315,263,-5.7546,5,0,0.9716,196.2141,4.7371,0.0315,0.1938
1320,264,-16.8522,5,0,0.9747,161.8272,2.6802,0.0249,0.1937
1325,265,23.6629,5,0,0.8749,114.6317,4.3769,0.8583,0.1936
1330,266,33.1664,5,0,0.9673,205.5361,3.2018,0.7055,0.1935
1335,267,-48.9056,5,0,0.9582,188.9662,3.7846,0.0468,0.1934
1340,268,-16.8516,5,0,0.9759,175.8906,4.7590,0.0251,0.1933
1345,269,-10.3114,5,0,0.9360,259.0524,3.5959,0.0896,0.1932
1350,270,-21.6883,5,0,0.9245,247.0478,4.4693,0.0584,0.1931
1355,271,-10.7360,5,0,0.9710,216.8647,5.8878,0.0340,0.1930
1360,272,-5.5498,5,0,0.9496,178.7790,4.7458,0.0583,0.1929
1365,273,-26.6918,5,0,0.9557,190.4831,4.8765,0.0507,0.1928
1370,274,-48.8477,5,0,0.9142,193.5032,3.5249,0.0782,0.1927
1375,275,-27.9165,5,0,0.9791,217.2082,6.7535,0.0212,0.1926
1380,276,-10.6072,5,0,0.9567,159.1837,2.8891,0.0502,0.1925
